epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,998.944,1.04249,2.03923,1.52562,0.7384,0.72856,0.71972,0.55306,1.20616,1.76379,1.83863,0.00041522,0.00041522,0.00041522
2,1879.63,1.0054,1.52069,1.46184,0.62315,0.73849,0.71844,0.54616,1.10859,1.61194,1.64126,0.000798944,0.000798944,0.000798944
3,2654.36,0.97492,1.39232,1.42696,0.67164,0.81259,0.75573,0.5692,1.14071,1.44944,1.58999,0.00114967,0.00114967,0.00114967
4,3504.9,0.94743,1.2921,1.40165,0.73277,0.83273,0.77508,0.61776,1.03363,1.36916,1.50576,0.0011015,0.0011015,0.0011015
5,4240.26,0.94064,1.22065,1.39978,0.6931,0.81884,0.76457,0.61439,1.01339,1.23146,1.48966,0.001052,0.001052,0.001052
6,5002.98,0.87603,1.12891,1.33826,0.72795,0.83967,0.78507,0.62499,0.93131,1.0963,1.4029,0.0010025,0.0010025,0.0010025
7,5735.96,0.83299,1.06077,1.31144,0.7354,0.83685,0.79865,0.64826,0.92632,1.07012,1.37381,0.000953,0.000953,0.000953
8,6620.45,0.81456,1.03997,1.29129,0.68458,0.83273,0.7804,0.63376,0.94774,1.07442,1.38955,0.0009035,0.0009035,0.0009035
9,7478.64,0.80316,1.02251,1.28936,0.72684,0.86051,0.77571,0.63572,0.90734,0.99028,1.34267,0.000854,0.000854,0.000854
10,8508.33,0.78445,1.00321,1.27146,0.72385,0.8436,0.79834,0.66609,0.82399,1.01014,1.28213,0.0008045,0.0008045,0.0008045
11,45275.2,0.75839,0.96227,1.2524,0.72733,0.83273,0.78096,0.65417,0.81824,0.9677,1.31463,0.000755,0.000755,0.000755
12,46859.5,0.74062,0.95104,1.24291,0.72961,0.83273,0.79276,0.64735,0.83354,0.98667,1.25515,0.0007055,0.0007055,0.0007055
13,47890.6,0.72258,0.90353,1.21495,0.77596,0.89523,0.80715,0.64757,0.82795,0.9246,1.27704,0.000656,0.000656,0.000656
14,48672,0.7225,0.91974,1.22267,0.786,0.88829,0.81656,0.68259,0.80641,0.8644,1.26324,0.0006065,0.0006065,0.0006065
15,98578.6,0.7052,0.89672,1.21888,0.72671,0.88065,0.81083,0.65296,0.84042,0.93415,1.22744,0.000557,0.000557,0.000557
16,99389.9,0.73866,1.03234,1.26639,0.73087,0.86745,0.81501,0.66415,0.8362,0.9334,1.26896,0.0005075,0.0005075,0.0005075
17,100379,0.7036,0.9765,1.21921,0.74862,0.91667,0.85199,0.69156,0.80457,0.90962,1.17604,0.000458,0.000458,0.000458
18,101336,0.69791,0.95391,1.21936,0.71321,0.86745,0.81003,0.69773,0.75009,0.89125,1.21061,0.0004085,0.0004085,0.0004085
19,102257,0.67204,0.91072,1.20039,0.79033,0.91606,0.845,0.69325,0.77827,0.80961,1.22725,0.000359,0.000359,0.000359
20,103309,0.6629,0.90259,1.19219,0.72148,0.89583,0.81634,0.69066,0.74351,0.8799,1.17892,0.0003095,0.0003095,0.0003095
21,104166,0.63085,0.86816,1.16954,0.76024,0.90261,0.84447,0.71737,0.72019,0.80062,1.12851,0.00026,0.00026,0.00026
22,105161,0.61338,0.85531,1.15844,0.76219,0.88705,0.84255,0.7262,0.69555,0.87196,1.12346,0.0002105,0.0002105,0.0002105
23,105952,0.5919,0.82584,1.12712,0.79016,0.86111,0.87335,0.74596,0.69909,0.82804,1.10236,0.000161,0.000161,0.000161
24,106708,0.57216,0.81903,1.13271,0.76519,0.92987,0.87813,0.7459,0.70724,0.80623,1.11893,0.0001115,0.0001115,0.0001115
25,107778,0.57351,0.8049,1.12597,0.79384,0.86624,0.87643,0.75471,0.6779,0.79052,1.0994,6.2e-05,6.2e-05,6.2e-05
